Degerlendirme Puani,Ikametgah Bolgesi,Ikametgah Sehri Kademe Puani,Uni Grup,Universite Turu,Burs Yuzdesi Grubu,Universite Kacinci Sinif,Universite Not Ortalamasi,Lise Mezuniyet Notu Grup,Anne Egitim Durumu Grup,Anne Calisma Durumu,Anne Sektor Grup,Baba Egitim Durumu Grup,Baba Sektor Grup,Kardes Sayisi,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Kulup Ismi Grup,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Aktif olarak bir STK üyesi misiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,Spor Dalindaki Rolunuz Nedir?,STK Üye Grup,Aktif Katilim
14.0,2,2,0.0,1,4,0,0,0,1,0,0,2,0,3.0,0,5,0,0,0,0,0,1.0,0,5,0
32.0,2,1,0.0,1,4,2,2,0,1,0,0,0,0,3.0,1,1,0,0,0,0,0,1.0,0,5,1
42.0,2,1,0.0,1,4,2,2,0,3,1,1,2,0,0.0,1,1,1,0,0,1,0,1.0,2,5,3
48.0,2,1,0.0,1,4,2,2,0,2,1,1,2,1,2.0,1,2,0,1,1,1,0,1.0,0,4,4
29.0,2,1,0.0,1,4,2,2,0,3,1,1,2,1,1.0,1,3,0,0,0,0,0,1.0,0,5,1
30.0,2,1,0.0,1,4,0,0,0,2,2,0,2,0,0.0,1,1,0,0,0,0,0,1.0,0,5,1
20.0,2,1,0.0,1,4,0,0,0,3,2,0,2,1,0.0,0,5,0,0,1,1,0,1.0,0,5,2
12.0,2,1,0.0,1,4,0,0,0,2,1,1,1,1,1.0,0,5,0,0,0,0,0,1.0,0,5,0
46.0,2,1,0.0,1,4,2,2,0,2,0,0,1,0,3.0,1,1,0,0,1,1,0,1.0,0,5,3
48.0,2,1,0.0,1,4,0,0,0,1,0,0,1,0,3.0,1,1,1,0,1,0,0,1.0,1,5,3
44.0,2,1,0.0,1,4,2,2,0,3,1,2,2,0,1.0,1,3,0,0,0,0,0,1.0,0,5,1
50.0,2,1,0.0,1,4,2,2,0,2,2,0,1,0,2.0,1,3,0,0,1,0,0,1.0,0,5,2
51.0,2,1,0.0,1,4,2,2,0,3,2,0,1,1,1.0,1,3,0,0,1,1,0,1.0,0,5,3
44.0,1,4,0.0,1,4,2,2,0,3,1,2,2,2,1.0,0,5,0,0,1,0,0,1.0,0,5,1
42.0,2,1,0.0,1,4,2,2,0,2,2,0,0,1,1.0,1,1,0,0,1,0,0,1.0,0,5,2
22.0,2,1,0.0,1,4,0,0,0,3,1,2,2,1,1.0,0,5,0,0,0,0,0,1.0,0,5,0
52.0,2,1,0.0,1,4,0,0,0,3,1,2,2,0,1.0,1,2,0,1,0,0,0,1.0,0,4,2
29.0,2,1,0.0,1,4,0,0,0,2,2,0,1,0,2.0,1,1,0,0,0,0,0,1.0,0,5,1
32.0,2,1,0.0,1,4,0,0,0,2,2,0,1,0,1.0,0,5,0,0,1,1,0,1.0,0,5,2
26.0,0,1,0.0,1,4,2,2,0,2,0,0,1,0,1.0,0,5,0,0,0,0,0,1.0,0,5,0
30.0,2,1,0.0,1,4,0,0,0,1,0,0,1,1,2.0,0,5,0,0,0,0,0,1.0,0,5,0
65.0,2,1,0.0,1,4,2,2,0,2,1,1,1,2,1.0,1,1,1,0,1,1,0,1.0,1,5,4
44.0,0,6,0.0,1,4,0,0,0,3,0,0,1,0,4.0,0,5,0,1,1,0,0,1.0,0,4,2
56.0,2,1,0.0,1,4,2,2,0,1,0,0,1,0,1.0,1,1,0,0,1,0,0,1.0,0,5,2
33.0,1,3,0.0,1,4,0,0,0,2,2,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
61.0,2,1,0.0,1,4,0,0,0,4,1,2,3,0,1.0,1,2,0,1,1,1,0,1.0,0,4,4
62.0,0,1,0.0,1,4,2,2,0,4,1,2,2,0,1.0,1,3,0,1,1,0,0,1.0,0,4,3
49.0,1,1,0.0,1,4,2,2,0,3,2,1,2,0,3.0,1,1,0,1,1,1,0,1.0,0,4,4
48.0,2,1,0.0,1,4,2,2,0,1,0,0,0,0,4.0,1,4,0,0,0,0,0,1.0,0,5,1
49.0,2,1,0.0,1,4,2,2,0,2,2,0,2,2,2.0,1,3,0,0,1,0,0,1.0,2,5,2
18.0,2,1,0.0,1,4,0,0,0,2,1,1,3,2,1.0,0,5,0,1,0,1,0,1.0,0,0,2
30.0,2,1,0.0,1,4,2,2,0,3,1,2,3,2,0.0,0,5,0,0,1,1,0,1.0,0,5,2
24.0,2,1,0.0,1,4,2,2,0,1,0,0,0,2,2.0,0,1,0,0,0,0,0,1.0,0,5,0
48.0,2,1,0.0,1,4,2,2,0,1,0,0,2,2,2.0,1,1,0,0,0,0,0,1.0,0,5,1
70.0,2,1,0.0,1,4,0,0,0,2,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
24.0,2,1,0.0,1,4,2,2,0,1,0,0,1,0,3.0,1,2,0,0,0,0,0,1.0,0,5,1
16.0,2,2,0.0,1,4,0,0,0,2,0,0,0,0,1.0,0,5,0,0,0,0,0,1.0,0,5,0
42.0,2,1,0.0,1,4,2,2,0,2,0,0,2,0,2.0,1,1,0,1,1,0,0,1.0,1,0,3
18.0,2,1,0.0,1,4,0,0,0,2,0,0,2,2,3.0,1,2,0,0,0,0,0,1.0,0,5,1
18.0,2,1,0.0,1,4,0,0,0,1,0,0,1,0,3.0,0,5,0,0,0,0,0,1.0,0,5,0
22.0,2,2,0.0,1,4,0,0,0,2,1,1,0,0,1.0,0,5,0,1,0,0,0,1.0,0,4,1
22.0,2,1,0.0,1,4,0,0,0,2,1,1,0,0,1.0,0,5,0,1,0,0,0,1.0,0,4,1
22.0,2,1,0.0,1,4,2,2,0,2,0,0,1,2,1.0,0,5,0,0,0,0,0,1.0,0,5,0
38.0,2,1,0.0,1,4,2,2,0,1,0,0,1,0,2.0,0,5,1,0,0,0,0,1.0,1,5,1
52.0,2,1,0.0,1,4,2,2,0,1,0,0,0,0,4.0,1,2,0,0,1,0,0,1.0,0,5,2
56.0,2,1,0.0,1,4,2,2,0,2,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
43.0,2,1,0.0,1,4,0,0,0,1,1,1,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
23.0,2,1,0.0,1,4,0,0,0,2,0,0,2,0,2.0,0,5,0,0,0,1,0,1.0,0,5,1
38.0,2,1,0.0,1,4,2,2,0,0,0,0,0,0,3.0,1,1,0,0,0,0,0,1.0,0,5,1
38.0,0,3,0.0,1,4,0,0,0,2,0,0,1,0,1.0,1,1,0,0,0,1,0,1.0,0,5,2
44.0,2,1,0.0,1,4,0,0,0,3,1,2,2,2,3.0,1,4,0,0,1,0,0,1.0,0,5,2
28.0,2,1,0.0,1,4,0,0,0,2,0,0,2,2,0.0,0,5,0,0,0,0,0,1.0,0,5,0
61.0,2,1,0.0,1,4,0,0,0,3,0,0,2,1,1.0,1,1,0,1,1,0,0,1.0,0,4,3
34.0,2,1,0.0,1,4,0,0,0,3,1,1,2,2,1.0,0,5,0,1,0,0,0,1.0,0,4,1
33.0,2,1,0.0,1,4,2,2,0,1,0,0,1,1,2.0,0,5,0,0,0,0,0,1.0,0,5,0
46.0,2,1,0.0,1,4,2,2,0,1,0,0,0,1,1.0,1,1,0,0,1,0,0,1.0,0,5,2
31.0,2,1,0.0,1,4,2,2,0,1,1,1,1,0,1.0,0,5,0,0,0,0,0,1.0,0,5,0
64.0,2,1,0.0,1,4,2,2,0,1,0,0,2,1,1.0,1,1,0,1,1,1,0,1.0,0,4,4
52.0,2,1,0.0,1,4,2,2,0,2,0,0,1,2,3.0,1,3,0,1,0,0,0,1.0,0,4,2
52.0,2,1,0.0,1,4,0,0,0,0,0,0,1,1,3.0,1,2,0,0,1,0,0,1.0,0,5,2
28.0,2,1,0.0,1,4,0,0,0,1,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
50.0,1,1,0.0,1,4,0,0,0,3,1,2,2,0,2.0,1,1,0,0,1,1,0,1.0,0,5,3
38.0,2,1,0.0,1,4,2,2,0,0,0,0,0,0,0.0,0,5,0,0,1,0,0,1.0,0,5,1
34.0,2,1,0.0,1,4,0,0,0,1,0,0,1,2,2.0,0,5,0,1,1,0,0,1.0,0,4,2
20.0,2,1,0.0,1,4,2,2,0,0,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
40.0,2,1,0.0,1,4,2,2,0,3,1,2,2,2,1.0,1,1,0,0,1,0,0,1.0,0,5,2
24.0,0,1,0.0,1,4,2,2,0,2,0,0,2,0,2.0,0,5,0,0,0,0,0,1.0,0,5,0
38.0,2,1,0.0,1,4,2,2,0,2,1,1,2,1,0.0,0,5,0,0,1,0,0,1.0,1,5,1
32.0,2,1,0.0,1,4,0,0,0,2,0,0,2,0,3.0,0,5,0,0,1,0,0,1.0,0,5,1
26.0,2,1,0.0,1,4,0,0,0,1,0,0,0,1,3.0,0,5,0,0,0,0,0,1.0,0,5,0
8.0,2,1,0.0,1,4,0,0,0,1,0,0,1,0,3.0,0,5,0,0,0,0,0,1.0,0,5,0
61.0,2,1,0.0,1,4,0,0,0,4,2,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
28.0,2,1,0.0,1,4,0,0,0,0,0,0,0,1,5.0,1,4,0,0,0,0,0,1.0,0,5,1
24.0,0,6,0.0,1,4,2,2,0,1,0,0,1,1,4.0,0,5,0,0,0,0,0,1.0,0,5,0
59.0,2,1,0.0,1,4,2,2,0,2,0,0,1,0,1.0,1,1,0,1,1,1,0,1.0,0,4,4
46.0,2,1,0.0,1,4,2,2,0,3,1,1,1,0,0.0,1,3,0,0,1,1,0,1.0,0,5,3
43.0,2,1,0.0,1,4,2,2,0,3,2,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
29.0,2,1,0.0,1,4,2,2,0,2,0,0,1,0,3.0,0,5,0,0,0,0,0,1.0,0,5,0
24.0,2,1,0.0,1,4,0,0,0,1,0,0,2,0,1.0,0,5,0,0,0,0,0,1.0,0,5,0
34.0,2,1,0.0,1,4,2,2,0,1,0,0,0,0,2.0,0,5,0,0,1,0,0,1.0,0,5,1
51.0,2,1,0.0,1,4,2,2,0,1,0,0,0,0,2.0,1,3,0,0,1,0,0,1.0,0,5,2
22.0,2,1,0.0,1,4,2,2,0,1,0,0,1,1,2.0,0,5,0,0,0,1,0,1.0,0,5,1
26.0,2,2,0.0,1,4,2,2,0,1,0,0,1,1,0.0,1,3,0,0,0,0,0,1.0,0,5,1
57.0,2,1,0.0,1,4,2,2,0,3,2,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
28.0,2,1,0.0,1,4,0,0,0,2,0,0,1,1,1.0,0,5,0,0,1,0,0,1.0,0,5,1
28.0,2,1,0.0,1,4,2,2,0,2,0,0,2,0,1.0,0,5,0,0,0,0,0,1.0,0,5,0
63.0,2,1,0.0,1,4,0,0,0,2,1,1,1,2,0.0,1,1,0,1,1,1,0,1.0,0,4,4
36.0,2,1,0.0,1,4,2,2,0,2,0,0,1,0,2.0,1,1,0,0,1,1,0,1.0,0,5,3
53.0,2,1,0.0,1,4,2,2,0,2,2,0,2,0,0.0,0,5,1,0,1,0,0,1.0,1,5,2
37.0,1,1,0.0,1,4,0,0,0,3,2,0,2,0,1.0,0,5,0,0,1,1,0,1.0,0,5,2
54.0,2,1,0.0,1,4,0,0,0,2,1,1,1,1,4.0,1,1,0,1,1,1,0,1.0,0,4,4
34.0,2,1,0.0,1,4,0,0,0,2,0,0,0,0,2.0,0,5,0,0,1,1,0,1.0,0,5,2
50.0,2,1,0.0,1,4,2,2,0,4,0,0,3,2,1.0,1,1,0,0,1,1,0,1.0,0,5,3
14.0,2,1,0.0,1,4,2,2,0,1,0,0,1,0,2.0,0,5,0,0,0,0,0,1.0,0,5,0
41.0,2,1,0.0,1,4,2,2,0,2,0,0,2,0,1.0,1,3,0,0,0,0,0,1.0,0,5,1
49.0,2,1,0.0,1,4,2,2,0,1,0,0,0,0,2.0,1,4,0,0,1,0,0,1.0,0,5,2
44.0,2,1,0.0,1,4,0,0,0,1,0,0,2,2,2.0,1,1,0,1,1,0,0,1.0,0,4,3
50.0,1,1,0.0,1,4,0,0,0,1,0,0,1,0,1.0,1,3,0,1,1,0,0,1.0,0,4,3
44.0,2,1,0.0,1,4,2,2,0,1,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
22.0,2,1,0.0,1,4,0,0,0,3,1,1,1,1,1.0,0,5,0,0,0,0,0,1.0,0,5,0
22.0,2,1,0.0,1,4,2,2,0,4,1,1,3,0,1.0,0,5,0,0,0,1,0,1.0,0,5,1
58.0,2,1,0.0,1,4,0,0,0,3,2,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
46.0,2,1,0.0,1,4,2,2,0,1,2,0,2,0,2.0,0,5,0,1,1,0,0,1.0,0,4,2
33.0,2,1,0.0,1,4,0,0,0,2,0,0,0,0,1.0,1,3,0,0,0,0,0,1.0,0,5,1
53.0,2,1,0.0,1,4,2,2,0,2,1,1,1,0,1.0,1,2,0,0,1,0,0,1.0,0,5,2
50.0,2,1,0.0,1,4,2,2,0,1,0,0,1,1,2.0,1,2,1,0,0,1,0,1.0,2,5,3
43.0,2,1,0.0,1,4,2,2,0,2,0,0,2,2,1.0,1,1,0,0,0,0,0,1.0,0,5,1
48.0,2,1,0.0,1,4,2,2,0,2,1,2,0,0,1.0,1,1,0,0,1,0,0,1.0,0,5,2
23.0,2,1,0.0,1,4,0,0,0,3,2,0,2,2,1.0,0,5,0,0,0,0,0,1.0,0,5,0
71.0,2,1,0.0,1,4,2,2,0,1,0,0,2,2,3.0,1,1,1,0,1,1,0,1.0,2,5,4
42.0,2,2,0.0,1,4,0,0,0,1,2,0,0,0,2.0,1,1,1,0,0,0,0,1.0,1,5,2
52.0,2,2,0.0,1,4,2,2,0,2,1,2,2,0,0.0,1,1,0,0,1,1,0,1.0,0,5,3
26.0,2,1,0.0,1,4,0,0,0,0,0,0,0,0,1.0,0,5,0,0,0,0,0,1.0,0,5,0
63.0,2,1,0.0,1,4,2,2,0,3,1,2,2,1,1.0,1,1,1,1,1,1,0,1.0,1,4,5
26.0,1,1,0.0,1,4,0,0,0,2,1,1,1,1,0.0,1,2,0,0,0,0,0,1.0,0,5,1
8.0,2,1,0.0,1,4,0,0,0,3,1,2,1,2,1.0,0,5,0,0,0,0,0,1.0,0,5,0
30.0,2,1,0.0,1,4,0,0,0,1,0,0,1,0,1.0,1,1,0,0,0,0,0,1.0,0,5,1
24.0,2,1,0.0,1,4,2,2,0,3,2,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
46.0,2,1,0.0,1,4,2,2,0,2,2,0,3,0,1.0,1,1,0,0,1,0,0,1.0,0,5,2
36.0,2,1,0.0,1,4,0,0,0,3,2,0,0,0,0.0,1,1,0,0,0,0,0,1.0,0,5,1
51.0,2,1,0.0,1,4,2,2,0,2,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
40.0,2,1,0.0,1,4,2,2,0,1,0,0,1,1,2.0,1,1,0,0,0,0,0,1.0,0,5,1
43.0,1,3,0.0,1,4,0,0,0,1,0,0,1,2,2.0,1,2,0,0,1,0,0,1.0,0,5,2
36.0,0,5,0.0,1,4,2,2,0,2,0,0,1,0,1.0,0,5,1,0,0,0,0,1.0,1,5,1
36.0,1,3,0.0,1,4,0,0,0,1,1,1,1,2,1.0,0,5,1,0,1,0,0,1.0,1,5,2
42.0,2,1,0.0,1,4,2,2,0,1,0,0,1,0,3.0,1,4,0,0,1,1,0,1.0,0,5,3
28.0,2,1,0.0,1,4,0,0,0,2,0,0,2,1,1.0,0,5,1,0,1,1,0,1.0,1,5,3
12.0,2,1,0.0,1,4,2,2,0,1,0,0,0,0,2.0,0,5,0,0,0,0,0,1.0,0,5,0
26.0,2,1,0.0,1,4,0,0,0,1,0,0,1,0,3.0,0,5,0,0,1,1,0,1.0,0,5,2
24.0,2,1,0.0,1,4,0,0,0,1,0,0,1,2,1.0,1,2,0,0,0,0,0,1.0,0,5,1
18.0,2,1,0.0,1,4,2,2,0,1,1,1,1,1,3.0,0,5,0,0,0,0,0,1.0,0,5,0
20.0,2,1,0.0,1,4,0,0,0,1,0,0,0,0,5.0,0,5,0,0,0,0,0,1.0,0,5,0
58.0,2,1,0.0,1,4,2,2,0,2,0,0,2,0,2.0,1,2,0,0,1,0,0,1.0,0,5,2
23.0,2,1,0.0,1,4,0,0,0,1,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
28.0,2,1,0.0,1,4,0,0,0,2,0,0,1,0,4.0,0,5,0,1,1,1,0,1.0,0,4,3
50.0,2,1,0.0,1,4,0,0,0,2,2,0,2,0,1.0,1,3,0,1,1,1,0,1.0,0,0,4
42.0,2,1,0.0,1,4,0,0,0,1,0,0,2,2,3.0,1,2,0,0,1,1,0,1.0,0,5,3
31.0,2,1,0.0,1,4,2,2,0,2,0,0,2,1,1.0,0,5,0,0,0,0,0,1.0,0,5,0
16.0,2,1,0.0,1,4,0,0,0,1,0,0,0,0,3.0,0,5,0,0,0,0,0,1.0,0,5,0
21.0,2,1,0.0,1,4,0,0,0,0,0,0,0,1,4.0,0,5,0,0,0,0,0,1.0,0,5,0
26.0,2,1,0.0,1,4,2,2,0,3,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
58.0,2,1,0.0,1,4,0,0,0,1,0,0,1,1,2.0,1,1,0,1,1,1,0,1.0,0,4,4
34.0,2,1,0.0,1,4,0,0,0,2,0,0,3,0,3.0,0,5,0,0,0,0,0,1.0,0,5,0
29.0,2,1,0.0,1,4,0,0,0,2,2,0,1,0,3.0,0,5,0,0,0,0,0,1.0,0,5,0
52.0,2,2,0.0,1,4,0,0,0,2,0,0,2,0,2.0,1,1,1,0,1,1,0,1.0,1,5,4
22.0,2,1,0.0,1,4,2,2,0,3,1,2,1,1,1.0,0,5,0,0,0,0,0,1.0,0,5,0
22.0,1,1,0.0,1,4,0,0,0,1,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
66.0,0,1,0.0,1,4,2,2,0,3,1,2,1,2,1.0,1,4,1,1,1,1,0,1.0,1,4,5
42.0,2,1,0.0,1,4,0,0,0,1,0,0,1,0,1.0,1,1,0,1,0,0,0,1.0,0,4,2
23.0,2,1,0.0,1,4,0,0,0,1,0,0,0,0,5.0,0,5,0,0,0,0,0,1.0,0,5,0
71.0,2,1,0.0,1,4,2,2,0,1,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
54.0,2,1,0.0,1,4,0,0,0,1,1,1,2,2,3.0,1,1,0,0,1,0,0,1.0,0,5,2
43.0,2,1,0.0,1,4,2,2,0,3,2,0,2,1,1.0,1,1,0,0,1,0,0,1.0,0,5,2
31.0,2,1,0.0,1,4,0,0,0,1,0,0,0,0,1.0,1,1,0,0,0,0,0,1.0,0,5,1
27.0,2,1,0.0,1,4,0,0,0,1,0,0,2,2,2.0,1,1,0,0,0,0,0,1.0,0,5,1
44.0,2,1,0.0,1,4,2,2,0,2,0,0,1,0,1.0,0,5,0,0,1,1,0,1.0,0,5,2
58.0,2,1,0.0,1,4,2,2,0,3,1,2,2,0,1.0,1,1,0,0,1,0,0,1.0,0,5,2
36.0,2,1,0.0,1,4,2,2,0,3,2,0,2,2,2.0,1,1,1,0,0,1,0,1.0,1,5,3
18.0,2,1,0.0,1,4,0,0,0,0,0,0,0,0,8.0,0,5,0,0,0,0,0,1.0,0,5,0
22.0,2,1,0.0,0,4,0,0,0,1,0,0,0,0,1.0,0,1,1,0,0,0,0,1.0,1,5,1
